"","Evenement","Organisator","Entree Ja/Nee","Editie 1","Startdatum","Einddatum","Aantal dagen","Locatie/accomodatie","Binnen of Buiten","Imago","Bezoekers","Jaar"
"550","MIR4","H14","gedeeltelijk gratis",2012,2014-02-05,2014-02-09,5,"HAL Cruiseterminal","beide","Nationaal belang/Parels",14461,2014
"551","UOY3","QBI","gedeeltelijk gratis",2013,2014-07-18,2014-07-20,3,"Schouwburgplein / Churchillplein / Coolsingel / Hofplein / Grotekerkplein / Route","buiten","Internationaal belang/Iconen",625000,2014
"552","T5M2","8B1","gratis",2012,2014-05-24,2014-05-24,1,"Katendrecht","beide","Regionaal belang/kleinschalig",2000,2014
"553","KF3I","FEW","gratis",2004,2014-06-09,2014-06-09,1,"Coolsingel","route","Nationaal belang/Parels",30000,2014
"554","5SED","04N","gedeeltelijk gratis",2012,2014-11-14,2014-11-15,2,"Eendrachtsplein / Corso / Rotown / Maassilo / WORM / HipHophuis / Bird / Mini Mall","beide","Nationaal belang/Parels",5200,2014
"555","XMTR","7EJ","gedeeltelijk gratis",2009,2014-01-01,2014-12-31,2,"Rotterdamse Schouwburg / Luxor (nieuw) / Maaskade","beide","Nationaal belang/Parels",1145,2014
"556","KD0O","IJV","betaald",2014,2014-01-31,2014-01-31,1,"Rotterdamse Schouwburg","binnen","Nationaal belang/Parels",269,2014
"557","OM8Y","DYN","betaald",2014,2014-07-05,2014-07-05,1,"Parkkade / Schiehaven / Leuvehoofd / Boompjeskade","buiten","Regionaal belang/kleinschalig",1000,2014
"558","IGGU","HM4","gedeeltelijk gratis",2014,2014-09-12,2014-09-13,2,"Laurenskerk","binnen","Regionaal belang/kleinschalig",3000,2014
"559","EE4W","FCV","betaald",2014,2014-12-12,2015-01-24,8,"HAL Cruiseterminal / Maassilo","binnen","Regionaal belang/kleinschalig",6000,2014
"560","E7TY","JLB","betaald",2014,2014-09-20,2014-09-20,1,"Roel Langerakpark","buiten","Regionaal belang/kleinschalig",7500,2014
"561","DMCB","2N2","gratis",2014,2014-09-26,2014-09-28,3,"Schouwburgplein / Coolsingel / Binnenwegplein / Van Oldenbarneveltstraat / Stationsplein","beide","Regionaal belang/kleinschalig",15000,2014
"562","TX3L","PYD","gratis",2000,2014-07-26,2014-07-26,1,"Grotekerkplein","buiten","Regionaal belang/kleinschalig",4000,2014
"563","SSL7","OHZ","gratis",2014,2014-05-15,2014-05-15,1,"Oude Haven","buiten","Regionaal belang/kleinschalig",1500,2014
"564","CCKM","HJ0","betaald",2003,2014-03-08,2014-03-08,1,"Witte de Withstraat / Wilhelminapier / Museumpark / Maaskade","beide","Regionaal belang/kleinschalig",13000,2014
"565","BNRC","2R2","gratis",2014,2014-09-20,2014-09-21,2,"Heemraadsplein","buiten","Regionaal belang/kleinschalig",8000,2014
"566","1V1N","NH3","gedeeltelijk gratis",1993,2014-12-28,2014-12-30,3,"De Doelen","beide","Nationaal belang/Parels",NA,2014
"567","1V1N","U1S","gedeeltelijk gratis",1994,2014-12-28,2014-12-30,3,"De Doelen","binnen","Nationaal belang/Parels",4000,2014
"568","8PO8","WAM","gratis",2013,2014-11-07,2014-11-16,10,"Rotown / Poppodium Baroeg / Bird","binnen","Regionaal belang/kleinschalig",15000,2014
"569","ACFA","C29","gedeeltelijk gratis",2013,2014-09-18,2014-09-21,4,"Het Park bij de Euromast","buiten","Regionaal belang/kleinschalig",10000,2014
"570","KWQW","OHM","gedeeltelijk gratis",2014,2014-12-13,2014-12-13,1,"Mini Mall","binnen","Regionaal belang/kleinschalig",600,2014
"571","XGSL","M87","gedeeltelijk gratis",2014,2014-09-27,2014-09-28,2,"Het Park bij de Euromast / Lloyd Multiplein / Route / Erasmus MC","beide","Regionaal belang/kleinschalig",42000,2014
"572","6C1F","E5H","gedeeltelijk gratis",2013,2014-05-01,2014-09-30,153,"Schouwburgplein","buiten","Regionaal belang/kleinschalig",75000,2014
"573","4BES","YKB","betaald",2014,2014-07-05,2014-07-12,2,"Boulevard Nesselande","buiten","Regionaal belang/kleinschalig",15000,2014
"574","H0XD","FFY","gratis",2012,2014-05-15,2014-05-18,4,"Ahoy / Zuiderpark / Parkeerterrein Ahoy","beide","Nationaal belang/Parels",25000,2014
"575","CMHK","3YJ","gedeeltelijk gratis",2014,2014-11-21,2014-11-23,3,"MAAS podium","binnen","Regionaal belang/kleinschalig",2000,2014
"576","35T9","1IP","gratis",2002,2014-11-15,2014-11-15,1,"Willemsplein / Grotekerkplein","route","Regionaal belang/kleinschalig",17000,2014
"577","CPAC","MOC","gratis",2014,2014-05-22,2014-05-24,3,"Kralingse Bos / Kralingse Plas","buiten","Nationaal belang/Parels",1000,2014
"578","JOCQ","G0G","onbekend",2014,2014-09-22,2014-09-26,5,"De Rotterdam","onbekend","Onbekend",NA,2014
"579","QQGN","KPY","betaald",2014,2014-04-26,2014-04-26,1,"Plein 1940","buiten","Regionaal belang/kleinschalig",4000,2014
"580","T4L1","VNO","gratis",2014,2014-07-19,2014-07-19,1,"Grotekerkplein","buiten","Regionaal belang/kleinschalig",3000,2014
"581","ZSP5","NS7","betaald",2011,2014-11-22,2014-11-23,2,"De Doelen","binnen","Nationaal belang/Parels",4061,2014
"582","KZDO","EAL","gratis",2014,2014-12-04,2014-12-23,4,"Coolsingel / Beursplein / Beurstrappen / Hoogstraat","buiten","Regionaal belang/kleinschalig",30000,2014
"583","NNFU","BRO","gratis",2014,2014-07-18,2014-09-14,9,"Schouwburgplein / Museumpark","buiten","Regionaal belang/kleinschalig",6600,2014
"584","NNFU","KRI","onbekend",2014,2014-09-01,2014-09-07,7,"Stationsplein","buiten","Regionaal belang/kleinschalig",NA,2014
"585","B09I","09K","gratis",2011,2014-04-20,2014-09-14,22,"Stadspodium","buiten","Regionaal belang/kleinschalig",5500,2014
"586","P4N9","ILX","gedeeltelijk gratis",2012,2014-05-17,2014-05-18,2,"Leuvehaven / Oude Haven","beide","Regionaal belang/kleinschalig",1500,2014
"587","ATH9","8FW","onbekend",2014,2014-12-22,2014-12-22,1,"Rotown","binnen","Regionaal belang/kleinschalig",NA,2014
"588","V7CR","XA8","gratis",2014,2014-10-01,2014-10-08,2,"Stadion Feijenoord / De Kuip","beide","Regionaal belang/kleinschalig",300,2014
"589","UE32","BZV","betaald",2012,NA,NA,NA,NA,"beide","Regionaal belang/kleinschalig",NA,2014
"590","H7DK","0TM","gratis",2012,2014-04-20,2014-12-21,6,"Museumpark","buiten","Regionaal belang/kleinschalig",7000,2014
"591","NIJ5","QQS","gedeeltelijk gratis",2014,2014-02-05,2014-02-09,5,"Wilhelminapier","beide","Internationaal belang/Iconen",3900,2014
"592","KB9E","Q4V","gedeeltelijk gratis",2014,2014-09-13,2014-09-14,2,"Centraal Station","beide","Regionaal belang/kleinschalig",NA,2014
"593","P1W9","419","gratis",2014,2014-09-26,2014-09-27,2,"Kralingse Bos","buiten","n.v.t.",3000,2014
"594","TM22","9AG","gedeeltelijk gratis",2009,2014-06-08,2014-06-08,1,"Theater Zuidplein","beide","Nationaal belang/Parels",300,2014
"595","MR1R","3P2","betaald",2014,NA,NA,NA,NA,"beide","n.v.t.",250,2014
"596","8EQK","I78","betaald",2014,2014-06-27,2014-10-24,4,"Leeszaal Rotterdam West, Rijnhoutplein 3","binnen","Regionaal belang/kleinschalig",50,2014
"597","R9WT","GKI","betaald",2004,NA,NA,NA,NA,"buiten","Regionaal belang/kleinschalig",14125,2014
"598","7LUP","THJ","gedeeltelijk gratis",2012,2014-08-31,2014-08-31,1,"Wijkpark Oude Westen","buiten","Regionaal belang/kleinschalig",1000,2014
"599","HFZ6","X17","gedeeltelijk gratis",2013,2014-08-31,2014-08-31,1,"Coolsingel / Hofplein / Willemsbrug / Route","buiten","Internationaal belang/Iconen",1e+05,2014
"600","0ORV","XA8","gratis",2014,2014-04-16,2014-04-23,2,"Stadion Feijenoord / De Kuip","buiten","Nationaal belang/Parels",2000,2014
"601","8S2D","G0G","onbekend",2014,2014-05-23,2014-05-25,3,"MAAS podium","binnen","Onbekend",NA,2014
"602","SAEV","Y64","gratis",2001,2014-07-30,2014-08-27,5,"Binnenrotte / Blaak / Route","buiten","Regionaal belang/kleinschalig",5e+05,2014
"603","R7Z8","ZIG","gratis",1993,2014-09-05,2014-09-07,3,"Parkkade / Erasmusbrug / Wilhelminapier / Havengebieden / Willemskade / Boompjes / Willemsplein / .en anderen","buiten","Internationaal belang/Iconen",450000,2014
"604","ZLOM","N93","gratis",2014,2014-06-07,2014-06-08,2,"Heemraadsplein","buiten","Regionaal belang/kleinschalig",4000,2014
"605","FHPN","2RK","betaald",2014,2014-05-03,2014-08-16,15,"Stadion Woudestein / Excelsior","buiten","Regionaal belang/kleinschalig",15000,2014
"606","82SV","DBI","gratis",2014,2014-07-20,2014-07-20,1,"Erasmus MC","buiten","Regionaal belang/kleinschalig",2000,2014
"607","TVJ1","9YZ","betaald",2014,2014-08-30,2014-08-30,1,"Hoek van Holland","buiten","Nationaal belang/Parels",35000,2014
"608","6AX0","OLL","gratis",2014,2014-06-12,2014-07-13,25,"Binnenrotte / Stadspodium / Grotekerkplein","buiten","Regionaal belang/kleinschalig",10000,2014
"609","YDFZ","9RM","gratis",2014,2014-02-05,2014-02-09,5,"Fenixloods","binnen","Internationaal belang/Iconen",300,2014
"610","ISXR","55N","betaald",2014,2014-05-10,2014-05-10,1,"Centraal Station / Eendrachtsplein / Westersingel","beide","Regionaal belang/kleinschalig",900,2014
"611","4S6C","Q9G","gratis",2014,2014-12-12,2014-12-21,6,"Binnenrotte","buiten","Nationaal belang/Parels",40000,2014
"612","H5SK","G9I","onbekend",2013,2014-05-24,2014-05-25,2,"Katendrecht / Route","buiten","Nationaal belang/Parels",NA,2014
"613","M4VG","YVP","gedeeltelijk gratis",2014,2014-09-21,2014-09-21,1,"Grounds","beide","Regionaal belang/kleinschalig",400,2014
"614","0GU8","4TS","gedeeltelijk gratis",2014,NA,NA,NA,NA,"buiten","Regionaal belang/kleinschalig",NA,2014
"615","6RNW","GGS","betaald",2011,NA,NA,NA,NA,"binnen","Nationaal belang/Parels",NA,2014
"616","LL64","DAK","gedeeltelijk gratis",2014,2014-05-29,2014-06-09,12,"Binnenrotte / Grotekerkplein / Route / Schieblock","beide","Internationaal belang/Iconen",30000,2014
"617","KEUP","IM1","gratis",2001,2014-06-01,2014-06-29,5,"Het Park bij de Euromast","buiten","Regionaal belang/kleinschalig",20000,2014
"618","94FK","KQH","onbekend",NA,2015-09-27,2015-09-27,1,"Zuiderpark","buiten","Regionaal belang/kleinschalig",NA,2014
"619","CSRT","WLJ","gratis",2014,2014-08-31,2014-08-31,1,"Erasmusbrug / Route / Nieuwe Maas / Koningshaven","buiten","Nationaal belang/Parels",10000,2014
"620","K0A1","06Y","gedeeltelijk gratis",2015,2015-05-15,2015-10-11,23,"Centraal Station / Laurenskerk / Plein 1940 / Diergaarde Blijdorp","beide","Nationaal belang/Parels",1,2015
"621","7CJX","MJ0","gedeeltelijk gratis",2015,2015-05-09,2015-05-22,2,".en anderen","beide","Regionaal belang/kleinschalig",3000,2015
"622","USRY","TQP","betaald",2011,2015-05-16,2015-05-16,1,"Beachclub Royal","beide","Regionaal belang/kleinschalig",5000,2015
"623","2G6S","C6J","gratis",1993,2015-09-04,2015-09-06,3,"Maritiem Museum / Parkkade / Erasmusbrug / Leuvehaven / Maritiem Buitenmuseum / Plein 1940 / Oude Haven / Blaak / Wijnhaven","beide","Regionaal belang/kleinschalig",25000,2015
"624","FIDS","U5K","betaald",2015,2015-05-16,2015-05-24,3,"Museumpark / Parklaan","buiten","Regionaal belang/kleinschalig",5000,2015
"625","742L","5HO","gedeeltelijk gratis",2012,2015-09-12,2015-09-13,2,"Witte de Withstraat / Schouwburgplein / Rotterdamse Schouwburg / De Doelen / Wilhelminapier / Museumpark / Maassilo / Keilestraat / RAAF / Zomerhofkwartier","beide","Nationaal belang/Parels",24235,2015
"626","YPZB","KVU","gratis",2013,2015-09-12,2015-09-13,2,"Schouwburgplein","buiten","Regionaal belang/kleinschalig",7000,2015
"627","3FD7","WRU","gratis",2014,2015-10-03,2015-10-03,1,"Nieuwe Binnenweg","beide","Regionaal belang/kleinschalig",6000,2015
"628","AP76","6MT","onbekend",2011,2015-02-09,2015-02-15,7,"Ahoy","binnen","Internationaal belang/Iconen",NA,2015
"629","V1MD","WG8","betaald",2000,2015-10-07,2015-10-11,5,"LantarenVenster / Theater Zuidplein","binnen","Nationaal belang/Parels",6625,2015
"630","DX52","KGH","onbekend",2015,2015-10-14,2015-10-18,5,"WORM","binnen","Nationaal belang/Parels",NA,2015
"631","OAJ7","SL1","onbekend",2015,2015-10-11,2015-10-11,1,"MAAS podium","binnen","Nationaal belang/Parels",NA,2015
"632","NH9X","C0Y","gedeeltelijk gratis",2014,2015-08-29,2015-08-29,1,"Kralingse Bos","buiten","Regionaal belang/kleinschalig",4500,2015
"633","688O","70E","onbekend",2014,2015-11-12,2015-11-15,4,"Cinerama","binnen","Regionaal belang/kleinschalig",NA,2015
"634","NYZV","WG8","betaald",2015,2015-10-08,2015-10-11,4,"LantarenVenster","beide","Nationaal belang/Parels",5000,2015
"635","GZSL","1FL","betaald",2015,2015-09-26,2015-09-26,1,"Dak van de Hofbogen / Bird / Mini Mall / Raampoortstraat","beide","Regionaal belang/kleinschalig",2500,2015
"636","3NXG","8AJ","betaald",2013,2015-02-04,2015-02-08,5,"Museum Boijmans Van Beuningen / Nederlands Foto Instituut / MAMA showroom / Kunsthal / Centraal Station / Van Nellefabriek / Tent / Witte de With / LantarenVenster / Katendrecht / Museumpark / Fenixloods / Het Nieuwe Instituut / SS Rotterdam","route","Internationaal belang/Iconen",1e+05,2015
"637","MPIK","8AJ","onbekend",2000,2015-02-05,2015-02-08,4,"Van Nellefabriek","binnen","Nationaal belang/Parels",NA,2015
"638","C69S","7AU","betaald",2015,2015-09-12,2015-09-12,1,"Toepad","buiten","Nationaal belang/Parels",3500,2015
"639","YDBM","I28","gratis",2006,2015-09-19,2015-09-19,1,"Zuiderpark","buiten","Regionaal belang/kleinschalig",7000,2015
"640","W3JG","KQH","gratis",2015,2015-09-12,2015-09-13,2,"Park 1943","buiten","Regionaal belang/kleinschalig",4500,2015
"641","8D0E","3T2","gratis",1996,2015-05-05,2015-05-05,1,"Het Park bij de Euromast","beide","Nationaal belang/Parels",35000,2015
"642","9UCE","3BU","betaald",2015,2015-07-18,2015-07-18,1,"Beachclub Royal","beide","n.v.t.",4000,2015
"643","ZYW0","SH7","betaald",2014,2015-08-15,2015-08-15,1,"Roel Langerakpark","buiten","Regionaal belang/kleinschalig",3250,2015
"644","DT4C","BJQ","onbekend",2010,2015-07-10,2015-07-11,2,"Bird","binnen","Regionaal belang/kleinschalig",NA,2015
"645","THDE","ZU7","betaald",2012,2015-06-13,2015-06-13,1,"Kralingse Bos","buiten","Nationaal belang/Parels",7500,2015
"646","TNRF","Y64","onbekend",2015,2015-05-14,2015-05-14,1,"Binnenrotte / Route","route","Regionaal belang/kleinschalig",NA,2015
"647","7UUS","Q4J","betaald",1993,2015-11-25,2015-11-28,4,"Luxor (nieuw) / Het Nieuwe Luxor / Het Oude Luxor","binnen","Nationaal belang/Parels",12000,2015
"648","PN2Q","10K","betaald",2015,2015-01-07,2015-12-20,37,"Wilhelminapier / HAL Cruiseterminal","buiten","Regionaal belang/kleinschalig",1000,2015
"649","N4MK","YMS","betaald",2007,2015-09-24,2015-09-27,4,"LantarenVenster","binnen","Nationaal belang/Parels",5000,2015
"650","4DS0","1BU","betaald",2015,2015-10-24,2015-10-24,1,"Theater Zuidplein","binnen","Regionaal belang/kleinschalig",570,2015
"651","11UX","SXE","gratis",2015,2015-12-18,2015-12-18,1,"Stadspodium / Grotekerkplein","buiten","Regionaal belang/kleinschalig",1500,2015
"652","BW58","TGJ","betaald",2015,2015-02-21,2015-02-21,1,"De Doelen","binnen","Nationaal belang/Parels",1250,2015
"653","77DG","MAG","gratis",2015,2015-09-13,2015-09-13,1,"Zuiderpark","buiten","Regionaal belang/kleinschalig",1000,2015
"654","3MJF","DK7","gratis",2000,2015-02-25,2015-02-25,1,"Wijkpark Oude Westen","buiten","Regionaal belang/kleinschalig",10000,2015
"655","XA9C","KFP","betaald",2012,2015-06-17,2015-06-21,5,"Kralingse Bos","beide","Nationaal belang/Parels",42000,2015
"656","QYOM","XA8","betaald",2014,2015-06-05,2015-06-05,1,"Stadion Feijenoord / De Kuip","buiten","Nationaal belang/Parels",4800,2015
"657","6ILM","7EJ","gedeeltelijk gratis",2009,2015-05-06,2015-05-10,5,"Schouwburgplein / Rotterdamse Schouwburg / Luxor (nieuw) / Luxor Theater (oud)","beide","Nationaal belang/Parels",21500,2015
"658","C599","AAA","gedeeltelijk gratis",2015,2015-05-20,2015-05-23,4,"De Doelen","binnen","Nationaal belang/Parels",1500,2015
"659","76ME","3A3","betaald",2015,2015-06-06,2015-06-06,1,"Het Park bij de Euromast / Rozentuin Museumpark / Rotterdamsche Manege / Katershofpad","buiten","Regionaal belang/kleinschalig",4000,2015
"660","L0LQ","E5H","onbekend",2015,2016-05-18,2016-05-18,1,"Schouwburgplein","buiten","Regionaal belang/kleinschalig",NA,2015
"661","OQGY","PAO","betaald",2015,2015-08-08,2015-08-08,1,"Zuiderpark","buiten","Regionaal belang/kleinschalig",10000,2015
"662","OQGY","TQP","betaald",2015,2015-05-15,2015-05-15,1,"Beachclub Royal","beide","Regionaal belang/kleinschalig",5000,2015
"663","KE5E","U9A","onbekend",1994,2015-06-20,2015-06-20,1,"Schouwburgplein / .en anderen / Park Pompenburg / Luchtsingel","beide","Regionaal belang/kleinschalig",12000,2015
"664","XA2G","T8M","gratis",1993,2015-08-23,2015-08-23,1,"Het Park bij de Euromast","buiten","Regionaal belang/kleinschalig",30000,2015
"665","YH5Z","VIC","gratis",NA,2015-10-04,2015-10-04,1,"Centrale Bibliotheek","binnen","Regionaal belang/kleinschalig",700,2015
"666","RRAX","UXJ","gratis",2015,2015-07-31,2015-08-09,10,"APCOA parkeergarage Hartmanstraat","buiten","Regionaal belang/kleinschalig",10000,2015
"667","P1MN","F0C","gedeeltelijk gratis",2015,NA,NA,NA,NA,"buiten","Regionaal belang/kleinschalig",7500,2015
"668","M3B1","TQU","betaald",2015,2015-04-30,2015-10-25,179,"Onderzeebootloods / RDM Werf","binnen","n.v.t.",64395,2015
"669","TDYF","744","gedeeltelijk gratis",2015,2015-07-31,2015-08-23,12,"Tuinen Rotterdam","beide","Regionaal belang/kleinschalig",1800,2015
"670","8XQV","C35","betaald",2009,2015-09-05,2015-09-05,1,"Katendrecht","beide","Nationaal belang/Parels",5000,2015
"671","53C3","I32","gratis",NA,2015-12-31,2015-12-31,1,"Boompjes","buiten","Nationaal belang/Parels",50000,2015
"672","7WU7","NMY","gedeeltelijk gratis",1993,2015-06-18,2015-06-28,11,"Museumpark / Stationsplein / een route door de binnenstad","buiten","Nationaal belang/Parels",33000,2015
"673","07SQ","R1M","onbekend",2015,2015-12-12,2015-12-12,1,"Coolsingel / Route door de binnenstad","buiten","Nationaal belang/Parels",NA,2015
"674","WNMW","KQH","betaald",2013,2015-09-25,2015-09-27,3,"Museumpark","buiten","Regionaal belang/kleinschalig",20500,2015
"675","KOEC","7S9","gratis",2015,2015-10-10,2015-10-10,1,"Nieuwe Binnenweg","buiten","Regionaal belang/kleinschalig",300,2015
"676","TDUW","0VK","gratis",2015,2015-06-13,2015-06-13,1,"West Kruiskade","buiten","Regionaal belang/kleinschalig",300,2015
"677","3AQM","9OV","betaald",2015,2015-09-19,2015-09-19,1,"De Schie","buiten","Regionaal belang/kleinschalig",180,2015
"678","I7Z8","YK6","gedeeltelijk gratis",2011,2015-12-13,2015-12-13,1,"Stadion Feijenoord / De Kuip / Route","buiten","Nationaal belang/Parels",20000,2015
"679","MN7U","SH1","onbekend",2009,2015-08-07,2015-08-09,3,"Vroesenpark","buiten","Regionaal belang/kleinschalig",9000,2015
"680","0BWC","WRU","gratis",2015,2015-02-05,2015-07-23,2,"Eendrachtsplein / Rotown / WORM / De Gouvernestraat / Vibes / Bar3","beide","Regionaal belang/kleinschalig",16000,2015
"681","8TPU","M0E","onbekend",2015,2015-09-26,2015-10-04,9,"Ahoy / Topsportcentrum Rotterdam","binnen","Internationaal belang/Iconen",NA,2015
"682","JC1W","SD3","betaald",2015,2015-06-06,2015-06-06,1,"Noorderbocht","buiten","Regionaal belang/kleinschalig",7000,2015
"683","BR5T","PQ2","gedeeltelijk gratis",2014,2015-08-17,2015-08-20,4,"Schouwburgplein / Museumpark 15 / Museumpark 23 / Binnenrotte / Katendrecht / Het Park bij de Euromast / Museumpark / Vroesenpark / Fenixloods / Wijkpark Oude Westen / Markthal","beide","Regionaal belang/kleinschalig",2500,2015
"684","EKDT","OHK","onbekend",2015,2015-06-27,2015-06-27,1,"Ahoy","binnen","Regionaal belang/kleinschalig",NA,2015
"685","UKLJ","EEW","betaald",2013,2015-09-05,2015-09-05,1,"Havengebieden","buiten","Regionaal belang/kleinschalig",750,2015
"686","LP3O","FUJ","gratis",2013,2015-07-11,2015-07-25,2,"Sparta Stadion / Het Kasteel","beide","Regionaal belang/kleinschalig",3000,2015
"687","0H3I","GQY","gedeeltelijk gratis",NA,2015-09-23,2016-03-20,15,"Schouwburgplein / Rotterdamse Schouwburg","binnen","Nationaal belang/Parels",32980,2015
"688","QSI5","VUN","gedeeltelijk gratis",2002,2015-10-30,2015-11-01,3,"LantarenVenster","binnen","Nationaal belang/Parels",1400,2015
"689","QGEF","O2L","betaald",2014,NA,NA,NA,NA,"beide","Regionaal belang/kleinschalig",500,2015
"690","CREW","DXG","gratis",2015,2015-06-27,2015-06-27,1,"LantarenVenster","binnen","Regionaal belang/kleinschalig",500,2015
"691","46ND","8GX","gratis",2015,2015-08-29,2015-08-29,1,"Lijnbaan","buiten","Regionaal belang/kleinschalig",5000,2015
"692","CR84","BS0","gratis",2015,2015-05-14,2015-05-17,4,"Vroesenpark","buiten","Regionaal belang/kleinschalig",20000,2015
"693","TLL5","6MT","onbekend",2015,2015-04-18,2015-04-18,1,"Ahoy","binnen","Nationaal belang/Parels",NA,2015
"694","FRRA","DOR","gedeeltelijk gratis",2016,2015-11-07,2015-11-08,2,"Katendrecht / Theater Walhalla","beide","Nationaal belang/Parels",1036,2015
